param,value,spend,max_round,min_round,mid_round,avg_round,max_acc,min_acc,mid_acc,avg_acc
max_depth,3,603436,1001,969,1000,992.2,0.24339999999999995,0.23309999999999997,0.24114999999999998,0.23847999999999997
max_depth,4,977263,1000,963,1000,989.2,0.23804999999999998,0.23109999999999997,0.23675000000000002,0.23503
max_depth,5,559172,995,976,992,984.6,0.23845000000000005,0.23285,0.23524999999999996,0.23493
max_depth,6,371156,1001,982,999,995.4,0.23660000000000003,0.2278,0.23465000000000003,0.23291
max_depth,7,218280,1000,972,998,992.0,0.23675000000000002,0.23124999999999996,0.236,0.23395000000000002
