param,value,spend,max_round,min_round,mid_round,avg_round,max_acc,min_acc,mid_acc,avg_acc
lambda_l1,2,153278,1001,961,998,989.2,0.23404999999999998,0.22799999999999998,0.23229999999999995,0.23132999999999998
lambda_l1,4,239210,994,903,994,968.2,0.23440000000000005,0.22975,0.23414999999999997,0.23207
lambda_l1,6,580222,1001,985,1000,993.8,0.23695,0.23009999999999997,0.23460000000000003,0.23316999999999996
lambda_l1,8,468425,1001,974,1000,994.6,0.23555000000000004,0.23014999999999997,0.23514999999999997,0.23308
