param,value,spend,max_round,min_round,mid_round,avg_round,max_acc,min_acc,mid_acc,avg_acc
max_depth,3,976450,1001,952,998,987.4,0.22755000000000003,0.2177,0.22640000000000005,0.22374
max_depth,4,560243,999,986,994,991.8,0.22235000000000005,0.21104999999999996,0.22075,0.21741000000000002
max_depth,5,186219,1001,965,999,987.6,0.21899999999999997,0.21050000000000002,0.21794999999999998,0.21524000000000001
max_depth,6,204030,1001,990,999,997.4,0.21809999999999996,0.20955000000000001,0.21789999999999998,0.2145
max_depth,7,831023,995,904,986,968.0,0.21835000000000004,0.2096,0.21719999999999995,0.21459999999999999
