param,value,spend,max_round,min_round,mid_round,avg_round,max_acc,min_acc,mid_acc,avg_acc
feature_fraction,0.2,711454,997,945,993,980.6,0.21645000000000003,0.2128,0.21530000000000005,0.21478999999999998
feature_fraction,0.4,707291,999,740,988,922.4,0.21540000000000004,0.2056,0.21535000000000004,0.21163000000000004
feature_fraction,0.6,313898,990,923,988,969.4,0.21365,0.20550000000000002,0.21299999999999997,0.21070000000000003
feature_fraction,0.8,579640,997,869,989,957.4,0.21425000000000005,0.20575,0.21325000000000005,0.2104
