param,value,spend,max_round,min_round,mid_round,avg_round,max_acc,min_acc,mid_acc,avg_acc
max_depth,3,321936,998,986,998,992.8,0.2257,0.21530000000000005,0.22529999999999994,0.22163
max_depth,4,183285,1000,975,998,992.2,0.22114999999999996,0.21125000000000005,0.22114999999999996,0.21711999999999998
max_depth,5,480988,999,955,992,981.0,0.21904999999999997,0.21125000000000005,0.21885,0.21558000000000002
max_depth,6,724329,1001,959,1001,990.8,0.21840000000000004,0.21104999999999996,0.21819999999999995,0.2152
max_depth,7,779730,994,886,985,947.6,0.21745000000000003,0.2106,0.21725000000000005,0.21478999999999998
