param,value,spend,max_round,min_round,mid_round,avg_round,max_acc,min_acc,mid_acc,avg_acc
max_depth,3,508003,1001,973,999,990.8,0.23909999999999998,0.22865000000000002,0.23895,0.23519
max_depth,4,890154,1001,989,1000,996.4,0.23295,0.2248,0.23255000000000003,0.23060999999999998
max_depth,5,232698,1000,982,996,992.8,0.2309,0.2249,0.23065000000000002,0.22858
max_depth,6,774141,1000,977,998,990.6,0.23204999999999998,0.22314999999999996,0.2288,0.22813
max_depth,7,172595,1000,987,1000,996.8,0.2298,0.2248,0.22870000000000001,0.22766999999999998
