param,value,spend,max_round,min_round,mid_round,avg_round,max_acc,min_acc,mid_acc,avg_acc
max_depth,3,886214,1001,994,1000,998.6,0.25795,0.25005,0.25560000000000005,0.25314
max_depth,4,611956,1000,977,1000,994.4,0.24505,0.23519999999999996,0.24505,0.24105999999999997
max_depth,5,396841,1001,982,998,995.0,0.23919999999999997,0.22860000000000003,0.23885,0.23506999999999997
max_depth,6,753365,999,991,997,994.8,0.236,0.22724999999999995,0.23504999999999998,0.23272999999999996
max_depth,7,103117,1000,993,1000,997.6,0.23440000000000005,0.22565000000000002,0.23370000000000002,0.23151000000000002
