param,value,spend,max_round,min_round,mid_round,avg_round,max_acc,min_acc,mid_acc,avg_acc
eta,0.03,73418,995,956,991,975.4,0.25005,0.24345000000000006,0.24880000000000002,0.24716000000000005
eta,0.05,654655,995,956,991,975.4,0.25005,0.24345000000000006,0.24880000000000002,0.24716000000000005
eta,0.07,692073,995,956,991,975.4,0.25005,0.24345000000000006,0.24880000000000002,0.24716000000000005
eta,0.09,394415,995,956,991,975.4,0.25005,0.24345000000000006,0.24880000000000002,0.24716000000000005
