param,value,spend,max_round,min_round,mid_round,avg_round,max_acc,min_acc,mid_acc,avg_acc
max_depth,3,833586,1000,992,998,996.0,0.2693,0.25939999999999996,0.26870000000000005,0.26530999999999993
max_depth,4,920391,999,964,999,987.6,0.26054999999999995,0.24955000000000005,0.2528,0.25305999999999995
max_depth,5,813552,994,962,984,978.0,0.25375000000000003,0.24629999999999996,0.25029999999999997,0.24912
max_depth,6,171731,1001,988,1000,996.2,0.25034999999999996,0.24214999999999998,0.24924999999999997,0.24744000000000002
max_depth,7,124204,1000,983,999,995.4,0.24965000000000004,0.24555000000000005,0.24885000000000002,0.24789000000000003
