The best value for eta is 0.09, the acc is 0.23395000000000002.
The best value for max_depth is 7, the acc is 0.23291.
The best value for num_leaves is 96, the acc is 0.22945000000000002.
The best value for feature_fraction is 0.8, the acc is 0.22945000000000002.
The best value for bagging_fraction is 0.8, the acc is 0.22945000000000002.
