param,value,spend,max_round,min_round,mid_round,avg_round,max_acc,min_acc,mid_acc,avg_acc
eta,0.07,812291,996,933,989,974.4,0.2127,0.20684999999999998,0.21225000000000005,0.21031000000000005
eta,0.1,270416,995,909,985,961.6,0.21109999999999995,0.20409999999999995,0.2107,0.20873
eta,0.15,95859,913,828,854,857.8,0.2106,0.20384999999999998,0.21040000000000003,0.20852000000000004
eta,0.2,396439,981,738,977,883.4,0.20994999999999997,0.20379999999999998,0.20875,0.20754999999999998
