param,value,spend,max_round,min_round,mid_round,avg_round,max_acc,min_acc,mid_acc,avg_acc
max_depth,4,106472,917,369,656,618.4,0.20994999999999997,0.20140000000000002,0.20955000000000001,0.20722000000000002
max_depth,5,53441,642,175,597,406.6,0.21120000000000005,0.20209999999999995,0.20984999999999998,0.20765000000000003
max_depth,6,81955,414,149,326,289.2,0.2116,0.20515000000000005,0.2107,0.20911
max_depth,7,592301,310,88,201,194.4,0.21245000000000003,0.20520000000000005,0.21004999999999996,0.20933000000000002
max_depth,8,975131,268,84,167,151.4,0.21519999999999995,0.2047,0.21050000000000002,0.21008
