param,value,spend,max_round,min_round,mid_round,avg_round,max_acc,min_acc,mid_acc,avg_acc
eta,0.01,880228,1000,980,998,993.8,0.22809999999999997,0.2178,0.22635000000000005,0.22399
eta,0.02,90545,998,983,991,990.4,0.21985,0.21235000000000004,0.21960000000000002,0.21702000000000005
eta,0.03,590489,999,903,995,972.0,0.2177,0.21009999999999995,0.21655000000000002,0.21485000000000004
eta,0.05,466615,997,966,996,989.0,0.21450000000000002,0.20809999999999995,0.21389999999999998,0.21200000000000002
eta,0.07,765158,996,933,989,974.4,0.2127,0.20684999999999998,0.21225000000000005,0.21031000000000005
eta,0.1,800753,995,909,985,961.6,0.21109999999999995,0.20409999999999995,0.2107,0.20873
