param,value,spend,max_round,min_round,mid_round,avg_round,max_acc,min_acc,mid_acc,avg_acc
gamma,0,59468,953,611,947,794.6,0.2087,0.20245000000000002,0.20865,0.20668999999999998
gamma,1,713258,1538,883,1358,1259.0,0.21125000000000005,0.20399999999999996,0.20945000000000003,0.20799000000000004
gamma,2,640401,1965,1055,1955,1585.8,0.21184999999999998,0.2056,0.21050000000000002,0.20928
gamma,3,132783,1880,968,1742,1475.4,0.2168,0.2076,0.21604999999999996,0.21343
gamma,4,111030,1989,1085,1902,1659.8,0.21865,0.21120000000000005,0.21755000000000002,0.21469000000000005
gamma,5,151530,1951,604,1789,1476.6,0.22145000000000004,0.21199999999999997,0.21965,0.21697000000000002
