param,value,spend,max_round,min_round,mid_round,avg_round,max_acc,min_acc,mid_acc,avg_acc
subsample,0.5,785740,600,309,569,470.2,0.21250000000000002,0.20489999999999997,0.21099999999999997,0.20952
subsample,0.6,780784,946,415,809,662.2,0.21184999999999998,0.20545000000000002,0.21135000000000004,0.20902000000000004
subsample,0.7,29413,784,530,727,663.2,0.2107,0.2036,0.2098,0.20814000000000005
subsample,0.8,486278,1835,369,656,802.0,0.20955000000000001,0.20140000000000002,0.20955000000000001,0.2069
subsample,0.9,732770,953,611,947,794.6,0.2087,0.20245000000000002,0.20865,0.20668999999999998
subsample,1,430203,959,331,708,603.6,0.20930000000000004,0.20330000000000004,0.20835000000000004,0.2071
