param,value,spend,max_round,min_round,mid_round,avg_round,max_acc,min_acc,mid_acc,avg_acc
eta,0.01,319748,1998,1922,1978,1966.6,0.22109999999999996,0.21235000000000004,0.21909999999999996,0.21722999999999998
eta,0.05,462274,1905,1587,1888,1803.0,0.21130000000000004,0.20489999999999997,0.2106,0.20874
eta,0.1,533869,1910,1046,1811,1532.8,0.21004999999999996,0.20284999999999997,0.20775,0.20708
eta,0.15,881422,1844,841,1756,1319.6,0.21040000000000003,0.20384999999999998,0.20845000000000002,0.20768000000000003
eta,0.2,696897,1883,870,1770,1339.8,0.20845000000000002,0.20335000000000003,0.20845000000000002,0.20703
eta,0.25,51950,1376,683,1308,1108.8,0.21030000000000004,0.20399999999999996,0.20965,0.20811000000000002
eta,0.3,874880,1595,539,679,781.6,0.21340000000000003,0.20475,0.2097,0.20894
